borough,buildingClassCategory,address,zipcode,residentialUnits,landSqft,yearBuilt,salePrice,employed,unemployed,incomeAbove100k,incomeBelow100k
Bronx County,02 TWO FAMILY DWELLINGS,2909 GRACE AVENUE,10469,2,"2,375",2004,625000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,2905 GRACE AVENUE,10469,2,"2,375",2004,749000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,3455 ELY AVENUE,10469,2,"2,375",2001,725000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,4003 HILL AVENUE,10466,2,"2,375",1960,480000,565642,32035,44610,621050
Bronx County,03 THREE FAMILY DWELLINGS,1419 NEEDHAM AVENUE,10469,3,"2,375",1899,530000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,99 EARLEY STREET,10464,1,"2,375",1925,575000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,94 WINTERS STREET,10464,1,"2,375",1960,535000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1110 CLARENCE AVENUE,10465,2,"2,375",1960,756500,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1011 WILCOX AVE,10465,2,"2,375",1975,850000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1722 HUNT AVENUE,10462,2,"2,375",1901,779000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,766 VAN NEST AVENUE,10462,2,"2,375",1901,675000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1657 BARNES AVENUE,10462,2,"2,375",1901,620000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1715 MATTHEWS AVENUE,10462,2,"2,375",1925,740940,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1842 HUNT AVENUE,10462,2,"2,375",1910,847000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1839 WALLACE AVENUE,10462,2,"2,375",1899,475000,565642,32035,44610,621050
Bronx County,03 THREE FAMILY DWELLINGS,681 VAN NEST AVENUE,10462,3,"2,375",1920,580000,565642,32035,44610,621050
Bronx County,03 THREE FAMILY DWELLINGS,1843 WALLACE AVENUE,10462,3,"2,375",1899,725000,565642,32035,44610,621050
Bronx County,03 THREE FAMILY DWELLINGS,1919 BARNES AVENUE,10462,3,"2,375",1910,725000,565642,32035,44610,621050
Bronx County,03 THREE FAMILY DWELLINGS,1696 MONROE AVENUE,10457,3,"2,375",1901,580000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1473 ST LAWRENCE AVENUE,10460,2,"2,375",1899,700000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1488 ST LAWRENCE AVENUE,10460,2,"2,375",1925,600000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1516 COMMONWEALTH AVENUE,10460,2,"2,375",1920,650000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1612 ADAMS STREET,10460,2,"2,375",1925,413500,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1718 TAYLOR AVENUE,10460,2,"2,375",1901,505000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1621 TAYLOR AVENUE,10460,2,"2,375",1899,700000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1608 TAYLOR AVENUE,10460,2,"2,375",1950,420810,565642,32035,44610,621050
Bronx County,03 THREE FAMILY DWELLINGS,1436 TAYLOR AVENUE,10460,3,"2,375",1930,550000,565642,32035,44610,621050
Bronx County,03 THREE FAMILY DWELLINGS,1460 ST LAWRENCE AVENUE,10460,3,"2,375",1920,585000,565642,32035,44610,621050
Bronx County,03 THREE FAMILY DWELLINGS,1716 ADAMS STREET,10460,3,"2,375",1920,140000,565642,32035,44610,621050
Bronx County,03 THREE FAMILY DWELLINGS,1716 ADAMS STREET,10460,3,"2,375",1920,900000,565642,32035,44610,621050
Bronx County,03 THREE FAMILY DWELLINGS,1628 TAYLOR AVENUE,10460,3,"2,375",1899,700000,565642,32035,44610,621050
Bronx County,03 THREE FAMILY DWELLINGS,622 VAN NEST AVENUE,10460,3,"2,375",1925,720000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1219 WARING AVENUE,10469,2,"2,375",1950,670000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,6022 FIELDSTON ROAD,10471,1,"2,375",1940,925000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,6142 LIEBIG AVENUE,10471,1,"2,375",1920,960000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,6163 TYNDALL AVENUE,10471,1,"2,375",1935,400000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,6132 DELAFIELD AVENUE,10471,1,"2,375",1930,735000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,6111 LIEBIG AVENUE,10471,1,"2,375",1930,591000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,1866 HUTCHINSON RIVER PARKWAY EAST,10461,1,"2,375",1920,1180000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,1870 MULFORD AVENUE,10461,1,"2,375",1920,550000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,1870 MULFORD AVENUE,10461,1,"2,375",1920,310000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,1819 MAYFLOWER AVENUE,10461,1,"2,375",1920,645000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,1810 PARKVIEW AVENUE,10461,1,"2,375",1925,565000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,1458 WILLIAM PLACE,10461,1,"2,375",1920,460000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,2890 DUDLEY AVENUE,10461,1,"2,375",1930,580000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,2919 WELLMAN AVENUE,10461,1,"2,375",1955,564000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1619 MULFORD AVENUE,10461,2,"2,375",1959,935000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1622 PILGRIM AVENUE,10461,2,"2,375",1940,595000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1953 PILGRIM AVENUE,10461,2,"2,375",1960,780000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1316 EDISON AVENUE,10461,2,"2,375",1950,707000,565642,32035,44610,621050
Bronx County,03 THREE FAMILY DWELLINGS,1868 HUTCHINSON RIVER PARKWAY EAST,10461,3,"2,375",1920,1180000,565642,32035,44610,621050
Bronx County,03 THREE FAMILY DWELLINGS,1403 ST LAWRENCE AVENUE,10472,3,"2,375",2003,630000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,4152 BOYD AVENUE,10466,1,"2,375",1930,459000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,4120 GRACE AVENUE,10466,1,"2,375",1920,525000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,4102 WILDER AVENUE,10466,1,"2,375",1970,560000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,4635 BRONX BOULEVARD,10470,1,"2,375",1925,458000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,4410 ELY AVENUE,10466,1,"2,375",1925,539000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,4410 ELY AVENUE,10466,1,"2,375",1925,270500,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,4137 WICKHAM AVE,10466,2,"2,375",1960,545900,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,4137 DE REIMER AVENUE,10466,2,"2,375",2015,849000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1517 GLOVER STREET,10462,2,"2,375",1901,535000,565642,32035,44610,621050
Bronx County,01 ONE FAMILY DWELLINGS,3648 HOLLAND AVENUE,10467,1,"2,375",1920,347140,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,3561 HOLLAND AVENUE,10467,2,"2,375",1910,636000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,3606 HOLLAND AVENUE,10467,2,"2,375",1915,650000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1039 EAST 215 STREET,10469,2,"2,375",2005,550000,565642,32035,44610,621050
Bronx County,03 THREE FAMILY DWELLINGS,924 EAST 215TH STREET,10469,3,"2,375",1925,770000,565642,32035,44610,621050
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,26 CONSTANT AVENUE,10314,1,"2,374",2000,540000,213734,8585,55180,173430
Queens County,02 TWO FAMILY DWELLINGS,173-11 110TH AVENUE,11433,2,"2,373",2005,988837,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,27 SMITH STREET,10305,1,"2,373",1995,367000,213734,8585,55180,173430
Queens County,02 TWO FAMILY DWELLINGS,70-13 53RD AVENUE,11378,2,"2,372",1925,850000,1099996,39401,166650,1015040
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,972A ST JOHNS PLACE,11213,2,"2,371",1915,2125000,1149461,48699,188640,1067440
Queens County,02 TWO FAMILY DWELLINGS,23-18 38TH STREET,11105,2,"2,370",1950,1400000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,141-24 SPRINGFIELD BOULEVARD,11413,2,"2,370",1915,700000,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,15 BEACHVIEW AVENUE,10306,1,"2,370",2003,600000,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,94-31 50TH AVENUE,11373,1,"2,369",1935,990000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,158-01 84 DRIVE,11432,1,"2,369",1920,717600,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,43 RAYMOND AVENUE,10314,1,"2,369",1960,477500,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,274 CORTELYOU AVENUE,10312,1,"2,369",1970,528000,213734,8585,55180,173430
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,142 BAY 37TH STREET,11214,2,"2,368",1925,995000,1149461,48699,188640,1067440
Queens County,01 ONE FAMILY DWELLINGS,68-48 NANSEN STREET,11375,1,"2,367",1925,710000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,69-27 NANSEN STREET,11375,1,"2,367",1930,1030000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,89-03 70 AVENUE,11375,2,"2,367",1930,765000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,66-03 78 ST,11379,2,"2,367",1945,600000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,114-42 133RD STREET,11420,1,"2,367",1930,468000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,114-40 133RD STREET,11420,2,"2,367",1930,636000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,111-40 178TH STREET,11433,2,"2,367",1955,373000,1099996,39401,166650,1015040
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,618 74TH STREET,11209,2,"2,367",1925,1225000,1149461,48699,188640,1067440
Kings County (Brooklyn),01 ONE FAMILY DWELLINGS,7615 20TH AVENUE,11214,1,"2,367",1925,1150000,1149461,48699,188640,1067440
Kings County (Brooklyn),01 ONE FAMILY DWELLINGS,925 EAST 88TH STREET,11236,1,"2,367",1925,477000,1149461,48699,188640,1067440
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,645 EAST 80TH STREET,11236,2,"2,367",1960,614658,1149461,48699,188640,1067440
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,448 DREW STREET,11208,2,"2,367",1905,800000,1149461,48699,188640,1067440
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,1078 EAST 56TH ST,11234,2,"2,367",1950,650000,1149461,48699,188640,1067440
Kings County (Brooklyn),01 ONE FAMILY DWELLINGS,2620 AVENUE R,11229,1,"2,367",1935,999900,1149461,48699,188640,1067440
Kings County (Brooklyn),01 ONE FAMILY DWELLINGS,2741 EAST 63RD STREET,11234,1,"2,367",1965,825000,1149461,48699,188640,1067440
Kings County (Brooklyn),01 ONE FAMILY DWELLINGS,1624 EAST 5TH STREET,11230,1,"2,367",1935,1500000,1149461,48699,188640,1067440
Bronx County,01 ONE FAMILY DWELLINGS,3321 FENTON AVENUE,10469,1,"2,367",1945,548000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,1404 THIERIOT AVENUE,10460,2,"2,367",1930,885000,565642,32035,44610,621050
Queens County,01 ONE FAMILY DWELLINGS,101-12 23RD AVENUE,11369,1,"2,364",2009,800000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,162 BEACH 115TH ST,11694,2,"2,364",2003,480000,1099996,39401,166650,1015040
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,703 GRAVESEND NECK ROAD,11223,2,"2,364",1930,1200000,1149461,48699,188640,1067440
Queens County,01 ONE FAMILY DWELLINGS,413 BEACH 45 STREET,11691,1,"2,363",1920,414000,1099996,39401,166650,1015040
Bronx County,02 TWO FAMILY DWELLINGS,2428 BUCK STREET,10461,2,"2,363",1920,759000,565642,32035,44610,621050
Queens County,02 TWO FAMILY DWELLINGS,60-68 80TH AVE,11385,2,"2,362",1910,715000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,103-37 107TH STREET,11417,2,"2,361",1920,844551,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,76-40 85TH ROAD,11421,2,"2,361",1915,870000,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,39 DOVER GREEN,10312,1,"2,360",1970,473776,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,52 MEREDITH AVENUE,10314,1,"2,360",2003,500000,213734,8585,55180,173430
Bronx County,01 ONE FAMILY DWELLINGS,2139 CLINTON AVENUE,10457,1,"2,360",1985,449000,565642,32035,44610,621050
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,17 DON COURT,10312,1,"2,359",1996,460000,213734,8585,55180,173430
Bronx County,02 TWO FAMILY DWELLINGS,2093 RYER AVENUE,10457,2,"2,359",1901,695000,565642,32035,44610,621050
Queens County,03 THREE FAMILY DWELLINGS,23-53 28TH STREET,11105,3,"2,358",1925,1750000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,78-39 73RD PLACE,11385,2,"2,358",1925,890000,1099996,39401,166650,1015040
Queens County,03 THREE FAMILY DWELLINGS,30-53 85 STREET,11370,3,"2,358",1925,1360000,1099996,39401,166650,1015040
Queens County,03 THREE FAMILY DWELLINGS,3253 85TH STREET,11370,3,"2,358",1930,1230000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,123-47 146TH STREET,11436,1,"2,358",1925,325000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,59-22 41ST AVE,11377,2,"2,358",1925,355000,1099996,39401,166650,1015040
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,7916 15TH AVENUE,11228,2,"2,358",1920,1410000,1149461,48699,188640,1067440
Kings County (Brooklyn),01 ONE FAMILY DWELLINGS,945 EAST 88TH STREET,11236,1,"2,358",1925,530000,1149461,48699,188640,1067440
Kings County (Brooklyn),03 THREE FAMILY DWELLINGS,1918 PACIFIC STREET,11233,3,"2,358",2000,945000,1149461,48699,188640,1067440
Kings County (Brooklyn),03 THREE FAMILY DWELLINGS,1147 EAST 59TH STREET,11234,3,"2,358",1955,937000,1149461,48699,188640,1067440
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,739 AVENUE Y,11235,2,"2,358",1960,1100000,1149461,48699,188640,1067440
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,350 CORTELYOU AVENUE,10312,1,"2,358",1980,565000,213734,8585,55180,173430
Bronx County,01 ONE FAMILY DWELLINGS,2710 PEARSALL AVENUE,10469,1,"2,358",1950,470000,565642,32035,44610,621050
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,16 CROWN COURT,10312,1,"2,357",1992,440000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,129 MORELAND STREET,10306,1,"2,356",1980,350000,213734,8585,55180,173430
Bronx County,02 TWO FAMILY DWELLINGS,2412 FRISBY AVENUE,10461,2,"2,354",1899,640000,565642,32035,44610,621050
Queens County,01 ONE FAMILY DWELLINGS,112-08 103RD AVENUE,11419,1,"2,353",1920,103000,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,22 CALCAGNO COURT,10314,1,"2,353",2005,420300,213734,8585,55180,173430
Bronx County,01 ONE FAMILY DWELLINGS,3279 BARKLEY AVE,10465,1,"2,353",1925,515000,565642,32035,44610,621050
Queens County,03 THREE FAMILY DWELLINGS,213-40 29TH AVENUE,11360,3,"2,352",1940,860000,1099996,39401,166650,1015040
Queens County,03 THREE FAMILY DWELLINGS,190-08 STATION ROAD,11358,3,"2,352",1984,1510000,1099996,39401,166650,1015040
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,47 DONGAN AVENUE,10314,2,"2,352",1950,595000,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,81 DONGAN AVENUE,10314,2,"2,352",1950,575000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,247 BROOKFIELD AVENUE,10308,1,"2,352",1977,580000,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,472 BARLOW AVENUE,10308,1,"2,352",1970,515000,213734,8585,55180,173430
Bronx County,02 TWO FAMILY DWELLINGS,2878 MILES AVENUE,10465,2,"2,352",1920,550000,565642,32035,44610,621050
Bronx County,03 THREE FAMILY DWELLINGS,1110 EAST 233 STREET,10466,3,"2,351",1966,775000,565642,32035,44610,621050
manhattan,02 TWO FAMILY DWELLINGS,116 SULLIVAN STREET,10012,2,2350,1900,13450000,#N/A,#N/A,#N/A,#N/A
Queens County,01 ONE FAMILY DWELLINGS,26-20 94TH STREET,11369,1,"2,350",1920,521000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,26-34 94TH STREET,11369,1,"2,350",1920,515000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,80-10 GRAND CENTRAL PKWY,11370,2,"2,350",1955,880000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,31-43 70TH STREET,11370,2,"2,350",1955,1050000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,119-23 145 STREET,11436,1,"2,350",1930,540000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,132-27 114TH PLACE,11420,1,"2,350",1925,640000,1099996,39401,166650,1015040
Queens County,03 THREE FAMILY DWELLINGS,85-46 76TH STREET,11421,3,"2,350",1920,930000,1099996,39401,166650,1015040
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,381 AMBOY STREET,11212,2,"2,350",1901,740000,1149461,48699,188640,1067440
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,820 THOMAS S BOYLAND STREET,11212,2,"2,350",1910,435000,1149461,48699,188640,1067440
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,603 OSBORN STREET,11212,2,"2,350",1899,415000,1149461,48699,188640,1067440
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,603 OSBORN STREET,11212,2,"2,350",1899,660000,1149461,48699,188640,1067440
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,1147 EAST 98TH STREET,11236,2,"2,350",1925,630000,1149461,48699,188640,1067440
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,627 VERMONT ST,11207,2,"2,350",1910,240825,1149461,48699,188640,1067440
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,627 VERMONT STREET,11207,2,"2,350",1910,938324,1149461,48699,188640,1067440
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,627 VERMONT STREET,11207,2,"2,350",1910,499000,1149461,48699,188640,1067440
Kings County (Brooklyn),01 ONE FAMILY DWELLINGS,2338 EAST 18TH STREET,11229,1,"2,350",1945,738000,1149461,48699,188640,1067440
Kings County (Brooklyn),01 ONE FAMILY DWELLINGS,2352 EAST 18TH STREET,11229,1,"2,350",1945,770000,1149461,48699,188640,1067440
Kings County (Brooklyn),01 ONE FAMILY DWELLINGS,2363 EAST 17TH STREET,11229,1,"2,350",1945,807000,1149461,48699,188640,1067440
Kings County (Brooklyn),03 THREE FAMILY DWELLINGS,3157 SHORE PARKWAY,11235,3,"2,350",1938,950000,1149461,48699,188640,1067440
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,192 SPRATT AVENUE,10306,1,"2,350",1965,455000,213734,8585,55180,173430
Richmond County (Staten Island),02 TWO FAMILY DWELLINGS,28 COWEN PLACE,10303,2,"2,350",2003,485000,213734,8585,55180,173430
Bronx County,02 TWO FAMILY DWELLINGS,2978 PERRY AVENUE,10458,2,"2,350",1920,690000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,2509 YOUNG AVENUE,10469,2,"2,350",1945,645000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,2128 BOGART,10462,2,"2,350",1950,900000,565642,32035,44610,621050
Queens County,01 ONE FAMILY DWELLINGS,61-15 WETHEROLE STREET,11374,1,"2,349",1930,660000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,10950 132ND STREET,11420,2,"2,348",1925,934620,1099996,39401,166650,1015040
Bronx County,03 THREE FAMILY DWELLINGS,2015 ARTHUR AVENUE,10457,3,"2,348",2007,948888,565642,32035,44610,621050
Kings County (Brooklyn),03 THREE FAMILY DWELLINGS,396 STERLING PLACE,11238,3,"2,347",1910,2500000,1149461,48699,188640,1067440
Queens County,02 TWO FAMILY DWELLINGS,62-69 82ND STREET,11379,2,"2,346",1950,1145000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,141-15 FOCH BLVD.,11436,1,"2,346",1960,561000,1099996,39401,166650,1015040
Kings County (Brooklyn),03 THREE FAMILY DWELLINGS,1205 EAST 72ND STREET,11234,3,"2,346",1970,750000,1149461,48699,188640,1067440
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,85 MOFFETT STREET,10312,1,"2,346",1991,520000,213734,8585,55180,173430
Queens County,01 ONE FAMILY DWELLINGS,8515 66TH AVE,11374,1,"2,345",1938,850000,1099996,39401,166650,1015040
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,524 ODER AVENUE,10304,1,"2,345",2019,687319,213734,8585,55180,173430
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,255A TARGEE STREET,10304,1,"2,345",2004,483000,213734,8585,55180,173430
Queens County,03 THREE FAMILY DWELLINGS,53-70 METROPOLITAN AVENUE,11385,3,"2,343",2007,700000,1099996,39401,166650,1015040
Queens County,03 THREE FAMILY DWELLINGS,14319 ROCKAWAY BLVD,11436,3,"2,343",1931,664800,1099996,39401,166650,1015040
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,543 72ND STREET,11209,2,"2,343",1910,1200000,1149461,48699,188640,1067440
Queens County,02 TWO FAMILY DWELLINGS,24-63 CRESCENT STREET,11102,2,"2,342",1930,1575000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,45-09 165 STREET,11358,2,"2,342",1930,390000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,68-42 KESSEL STREET,11375,1,"2,342",1920,800000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,6833 LOUBET ST,11375,1,"2,342",1920,790000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,78-19 85TH STREET,11385,2,"2,342",1930,382500,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,2635 91ST STREET,11369,2,"2,342",1930,930000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,30-31 93RD STREET,11369,2,"2,342",1930,905000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,31-50 86 ST,11369,2,"2,342",1925,945000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,6616 77TH PLACE,11379,1,"2,342",1925,801500,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,77-15 66TH DRIVE,11379,1,"2,342",1930,702000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,94-11 PITKIN AVE,11417,2,"2,342",1925,330000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,94-11 PITKIN AVE,11417,2,"2,342",1925,799000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,85-42 115TH STREET,11418,1,"2,342",1920,612000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,87-61 125TH STREET,11418,2,"2,342",1920,520000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,116-58 148TH STREET,11436,1,"2,342",1920,323779,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,111-47 146TH ST,11435,1,"2,342",1925,605000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,111-47 146 STREET,11435,1,"2,342",1925,300000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,130-18 121ST STREET,11420,1,"2,342",1925,370000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,133-14 SUTTER AVENUE,11420,1,"2,342",1925,590000,1099996,39401,166650,1015040
Queens County,02 TWO FAMILY DWELLINGS,91-08 77TH STREET,11421,2,"2,342",1920,555000,1099996,39401,166650,1015040
Bronx County,02 TWO FAMILY DWELLINGS,1709 VAN BUREN STREET,10460,2,"2,342",1920,570000,565642,32035,44610,621050
Bronx County,02 TWO FAMILY DWELLINGS,2210 FENTON AVENUE,10469,2,"2,342",1950,642000,565642,32035,44610,621050
Richmond County (Staten Island),01 ONE FAMILY DWELLINGS,107 LORRAINE LOOP,10309,1,"2,341",1990,445000,213734,8585,55180,173430
Bronx County,02 TWO FAMILY DWELLINGS,3442 DUNCOMB AVENUE,10467,2,"2,341",2002,460000,565642,32035,44610,621050
Queens County,02 TWO FAMILY DWELLINGS,26-43 28TH STREET,11102,2,"2,340",1960,1400000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,67-121 BURNS STREET,11375,1,"2,340",1930,738000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,31-27 94 STREET,11369,1,"2,340",1925,295000,1099996,39401,166650,1015040
Queens County,01 ONE FAMILY DWELLINGS,109-15 VAN WYCK EXPRESSWAY,11435,1,"2,340",1925,545000,1099996,39401,166650,1015040
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,509 GEORGIA AVENUE,11207,2,"2,340",1910,899000,1149461,48699,188640,1067440
Kings County (Brooklyn),02 TWO FAMILY DWELLINGS,1645 LINCOLN PLACE,11233,2,"2,340",1930,865000,1149461,48699,188640,1067440
